Store,Avg_Forecast_Demand,Avg_Inventory_Coverage,Avg_Volatility,Total_Replenishment,High_Risk_Weeks
1,25815.50018302989,0.7935270284014885,0.1654035587895291,174633.8881386449,0
2,29035.105393526752,0.8091435118249913,0.23323168254139529,238625.18527931243,0
3,41021.07301107259,0.8106881254092956,0.2131576835034637,317885.4566997302,0
4,57315.28568634092,0.7959668748103123,0.15538843446253778,371989.729784054,0
5,27344.345611363453,0.8013102945625791,0.23201813257134593,225009.5344705817,0
6,27733.34227910205,0.8084391342951404,0.20177825471990848,207104.81577009032,0
7,53147.72895917335,0.7970798992634409,0.18692775679738408,383909.356738598,0
8,37551.3317894824,0.7991810762408813,0.21337093705857033,294171.4286545576,0
9,43621.73732826662,0.8153231187961408,0.18060027659524328,302220.4791494021,0
10,34329.17971316909,0.8038135645238891,0.1567895982149745,221293.78972155627,0
11,43774.583931972156,0.7961758237474287,0.16638963745325447,297139.6449770073,0
12,46182.54641717912,0.8052360707063634,0.24467258893933017,394283.789004032,0
13,29333.58371661906,0.8121327770920844,0.24897775831648644,251949.18707245437,0
14,32445.21546408542,0.8083818762327911,0.16578110087291456,215775.14955488365,0
15,39960.85347377489,0.8166556681252347,0.19408461878480648,289380.69307895703,0
16,46031.963198235426,0.8138006376531809,0.16549932146407093,303164.33629676845,0
17,36484.89334133612,0.7998487263627277,0.2439456855459295,311465.36793367506,0
18,40656.36497088821,0.8119561153496209,0.1860787597939595,288191.7778505896,0
19,40027.85370988789,0.8075532757249907,0.19086887236593114,290007.77347247576,0
20,48086.48935672393,0.8003426752005588,0.101493724665504,249444.62427106028,0
21,33426.56752481776,0.7999900748644366,0.25319245926996226,293299.84637138876,0
22,27162.873286507453,0.8025815598516156,0.19618605365025313,200672.19747460313,0
23,32698.809084939043,0.8061395612052774,0.24338309450095585,277695.72745765554,0
24,58287.25650315066,0.8049487117744166,0.19849072186236746,432576.4310321242,0
25,62685.63399675294,0.8117728066109648,0.13919573581029682,373776.00761073426,0
26,40417.8124788925,0.809236513338372,0.23196684708432744,330940.2209052959,0
27,57613.589428921914,0.8073066481539078,0.23643804549113168,478122.3944321116,0
28,27408.18615744877,0.7972363370130716,0.239582777863716,231178.76193569775,0
29,49498.73032127471,0.8036707828787658,0.21544887475464067,387094.101830272,0
30,24654.36838668359,0.8027102091655488,0.2004440311865954,184736.00173161615,0
31,33430.17512535362,0.8035725414831701,0.1843183402171915,238349.78003782692,0
32,24116.402244938996,0.8079561933743362,0.20838709521941112,184372.68507002882,0
33,48622.63286493179,0.8073655974909809,0.15692297745413697,312277.7645452192,0
34,48091.9780749191,0.8070362595718761,0.15507774545094113,307701.23648269963,0
35,65610.73318646176,0.8250053107211659,0.2444721165517502,546149.3245169197,0
36,55354.48305370115,0.8026696992349078,0.10899407745470724,296200.09331418155,0
37,39606.786112361064,0.8022687028711497,0.19782102811282792,295156.6369948367,0
38,36883.06875568807,0.8129485106134325,0.2396337565516127,306889.0711301739,0
39,34102.987187150946,0.8068012538825035,0.2704336915135225,306315.75942493405,0
40,25748.560882289017,0.7882312310289027,0.1391049779127572,159779.53100094886,0
41,35052.51328724747,0.8019613584209838,0.1548868723127075,226146.73507236212,0
42,60282.93389767,0.8163375391891308,0.19596512022411106,437407.67005928897,0
43,37568.22664936628,0.817213505762342,0.20547108286424676,281999.4138438228,0
44,31289.192666176074,0.8113545291420104,0.22631717390361158,251800.11605548026,0
45,31347.770759792176,0.8056440716142754,0.20949202676932638,241007.21803389338,0
46,31623.16265578251,0.8128357299715931,0.23124691463658764,258232.47526566192,0
47,44774.07812478388,0.8035619930503461,0.1869799727077843,322417.1555136377,0
