Store,WeekStart,Forecast_Demand,Demand_Uncertainty,Safety_Stock,Simulated_Inventory,Recommended_Inventory,Inventory_Coverage_Ratio,Volatility_Ratio,Combined_Risk_Score,Risk_Level,Recommended_Replenishment,Recommendation
1,2015-04-20,27854.901271354036,5722.896294709526,9442.778886270717,20783.2,37297.68015762475,0.7461236282094968,0.22028932194116502,0.2438002568357017,MEDIUM,16514.480157624752,MONITOR INVENTORY
1,2015-04-27,26813.05027507837,6303.680009856678,10401.072016263519,20159.600000000002,37214.12229134189,0.7518577630362899,0.25015099545057157,0.24874486450976852,MEDIUM,17054.522291341887,MONITOR INVENTORY
1,2015-05-04,24996.958864065276,4654.385208238215,7679.735593593054,19281.2,32676.69445765833,0.7713418302143128,0.19311599727146503,0.21799551803142053,MEDIUM,13395.49445765833,MONITOR INVENTORY
1,2015-05-11,28517.54908085611,3971.6758008008014,6553.265071321322,21226.4,35070.81415217743,0.7443276397917844,0.14968815440398,0.22387709846694492,MEDIUM,13844.414152177429,MONITOR INVENTORY
1,2015-05-18,21683.729858929517,5080.888012936324,8383.465221344935,19654.8,30067.195080274454,0.9064307721905146,0.20680497437516837,0.12753995177919028,LOW,10412.395080274455,NO ACTION
1,2015-05-25,28558.886006271783,4465.055206825558,7367.341091262171,21068.800000000003,35926.227097533956,0.7377318567458516,0.16954188968809075,0.2344502671843311,MEDIUM,14857.427097533953,MONITOR INVENTORY
1,2015-06-01,21978.266780973765,4442.363972781462,7329.900555089412,19874.0,29308.167336063176,0.9042569279031868,0.1788211320431302,0.12066649008070829,LOW,9434.167336063176,NO ACTION
1,2015-06-08,26730.317351658276,3691.7580726080478,6091.400819803279,19339.600000000002,32821.71817146156,0.723508058118892,0.1527129029600632,0.23935823020479458,MEDIUM,13482.118171461556,MONITOR INVENTORY
1,2015-06-15,22702.4727869115,2469.6097363753697,4074.85606501936,20067.0,26777.328851930863,0.8839125230256454,0.0984545666567148,0.11079760387906266,LOW,6710.328851930863,NO ACTION
1,2015-06-22,27938.159324303422,2321.63008466035,3830.6896396895772,19981.800000000003,31768.848963992998,0.715215335701011,0.09294978769321482,0.22723420131725672,MEDIUM,11787.048963992995,MONITOR INVENTORY
1,2015-06-29,21958.35540840945,2616.921139430843,4317.919880060891,19815.800000000003,26276.27528847034,0.9024264172539576,0.10564988098106938,0.09999647221655052,LOW,6460.475288470338,NO ACTION
1,2015-07-06,29938.33229907022,4202.760402402214,6934.554663963652,20730.800000000003,36872.886963033874,0.6924500601071834,0.16218420523673815,0.2639402194959931,MEDIUM,16142.086963033871,MONITOR INVENTORY
1,2015-07-13,22762.697427707775,4266.363742501729,7039.500175127852,20670.600000000002,29802.19760283563,0.9080909705735851,0.16511813851563975,0.11387176215318234,LOW,9131.597602835627,NO ACTION
1,2015-07-20,28983.325826828946,4449.336907525288,7341.405897416725,20917.4,36324.73172424567,0.7217046147491268,0.17016787583639603,0.24585713242653,MEDIUM,15407.331724245669,MONITOR INVENTORY
2,2015-04-20,30116.87359575937,7552.343802864555,12461.367274726515,22924.600000000002,42578.24087048588,0.7611879077391326,0.2635542187122848,0.2462347301962926,MEDIUM,19653.64087048588,MONITOR INVENTORY
2,2015-04-27,31778.89134006334,7928.141438361619,13081.433373296672,22564.0,44860.32471336001,0.7100310630268521,0.2810899286779514,0.2873052344845889,MEDIUM,22296.32471336001,MONITOR INVENTORY
2,2015-05-04,27490.104297001428,6525.415152821056,10766.935002154742,21503.0,38257.03929915617,0.7822087456519948,0.24277227002078058,0.22528555904983777,MEDIUM,16754.039299156168,MONITOR INVENTORY
2,2015-05-11,32599.710679808155,5253.130304875368,8667.665003044356,24187.2,41267.37568285251,0.7419452349612797,0.17374910051185313,0.23276306568066013,MEDIUM,17080.175682852507,MONITOR INVENTORY
2,2015-05-18,23981.74609897575,5588.842597831264,9221.590286421586,21905.800000000003,33203.336385397335,0.9134364074071983,0.20410457861685086,0.12182588840001642,LOW,11297.536385397332,NO ACTION
2,2015-05-25,31305.942394025544,5249.021646935738,8660.885717443967,24145.800000000003,39966.82811146951,0.7712848792760831,0.1739108796373941,0.21227384839796004,MEDIUM,15821.02811146951,MONITOR INVENTORY
2,2015-06-01,23462.883189775883,6653.3236994753215,10977.98410413428,22389.0,34440.86729391017,0.9542305529508055,0.2377354486390753,0.10335924752615874,LOW,12051.867293910167,NO ACTION
2,2015-06-08,30904.543252221873,6712.00581048616,11074.809587302163,22430.4,41979.352839524036,0.7257961982139106,0.2393896073359783,0.263759543451056,MEDIUM,19548.952839524034,MONITOR INVENTORY
2,2015-06-15,24154.664681944152,6511.415994236582,10743.83639049036,22585.800000000003,34898.50107243451,0.935049204673212,0.23063751540300834,0.11465681134965414,LOW,12312.70107243451,NO ACTION
2,2015-06-22,33080.07949267098,6654.498246800178,10979.922107220293,22682.600000000002,44060.00159989127,0.6856875904734576,0.23469966394682013,0.2904285858526257,MEDIUM,21377.40159989127,MONITOR INVENTORY
2,2015-06-29,24025.389047905977,6172.859845052911,10185.218744337302,22995.2,34210.60779224328,0.9571208172383053,0.21475298653816138,0.09444132389463468,LOW,11215.40779224328,NO ACTION
